,brand,model,model_year,milage,fuel_type,price
521,BMW,550 Gran Turismo,2013,79341,Gasoline,16800
522,Land,Rover Range Rover,2007,220000,Gasoline,5750
523,BMW,430 i xDrive,2021,16900,Gasoline,43000
524,Porsche,Cayman Base,2007,75137,Gasoline,24999
525,Ford,Expedition Max King,2021,37594,Gasoline,62595
527,Mercedes-Benz,GLC 300 GLC,2021,12771,Gasoline,42598
528,Ford,Mustang Shelby GT500,2012,6400,Gasoline,48000
530,Nissan,370Z Base,2009,79893,Gasoline,15900
531,Toyota,Sequoia Platinum,2014,124838,Gasoline,33000
532,Nissan,NV Passenger NV3500,2020,14353,Gasoline,63900
533,Ford,Transit Connect XL,2022,22985,Gasoline,33500
534,INFINITI,QX80 Base,2014,161894,Gasoline,18900
535,Aston,Martin V8 Vantage,2008,25025,Gasoline,39000
536,Porsche,911 Carrera S,2017,16701,Gasoline,107998
537,Lotus,Evora 400 Base,2017,19650,Gasoline,69250
538,Land,Rover Range Rover,2020,29500,Gasoline,45000
539,Nissan,Xterra S,2007,132272,Gasoline,6700
540,Dodge,Charger R/T,2012,122000,Gasoline,13500
541,Buick,Encore GX Essence,2022,18185,Gasoline,31755
544,Jeep,Grand Wagoneer Series,2022,18428,Gasoline,83998
545,Nissan,Z Proto Spec,2023,535,Gasoline,65990
546,Land,Rover Range Rover,2013,81648,Gasoline,15900
547,Porsche,Boxster S,2003,138202,Gasoline,22550
548,Bentley,Continental GT Base,2004,69600,Gasoline,37900
549,Jaguar,F-TYPE R,2018,39900,Gasoline,53600
550,Cadillac,Escalade ESV Sport,2021,36500,Gasoline,85000
551,Audi,TT 2.0T,2018,42650,Gasoline,31990
552,Jeep,Wrangler Unlimited Sahara,2020,68816,Gasoline,35297
553,Audi,S6 4.0T,2016,91188,Gasoline,29995
556,Mazda,CX-90 Premium,2024,3880,Gasoline,52991
558,Cadillac,Escalade ESV Platinum,2018,67726,Gasoline,52000
559,Audi,TT 3.2 Cabriolet,2008,207000,Gasoline,10500
560,Hyundai,Santa Fe SE,2021,35550,Gasoline,25987
561,Mercedes-Benz,AMG GLE AMG,2016,44000,Gasoline,46599
562,Mercedes-Benz,SL-Class SL 550,2015,11249,Gasoline,54500
563,Acura,MDX 3.5L Technology,2014,111650,Gasoline,17500
564,RAM,2500 Laramie,2019,18526,Diesel,67999
565,Audi,A7 Premium,2012,103272,Gasoline,15500
566,BMW,M2 Base,2023,1160,Gasoline,73600
567,RAM,1500 Laramie,2019,107714,Gasoline,34918
568,Audi,Q5 2.0T Premium,2013,111773,Gasoline,17000
569,Cadillac,XTS Luxury,2019,54002,Gasoline,22500
570,Volkswagen,Jetta 1.4T SE,2016,87000,Gasoline,13000
571,Ford,Focus RS Base,2016,49700,Gasoline,31700
572,Mercedes-Benz,AMG C 63,2017,34500,Gasoline,64600
573,Ford,Bronco Sport Big,2021,31729,Gasoline,29614
574,Jeep,Gladiator Overland,2021,7388,Gasoline,43663
576,Mercedes-Benz,GLC 300 Base,2018,44486,Gasoline,25625
577,Acura,MDX 3.7L Advance,2013,20750,Gasoline,33000
578,Genesis,G70 3.3T,2022,12000,Gasoline,41000
579,Lexus,LX 570 Three-Row,2021,14206,Gasoline,98000
580,Jeep,Grand Cherokee L,2022,31700,Gasoline,43500
582,Kia,Sportage LX,2009,100730,Gasoline,6975
584,Ford,Expedition EL XLT,2014,85149,Gasoline,23598
585,BMW,X6 M Base,2018,48291,Gasoline,67250
586,Volkswagen,Eurovan MV,2001,111887,Gasoline,14000
587,Rolls-Royce,Ghost Base,2010,79000,Gasoline,69000
588,Lincoln,Navigator Reserve,2016,125000,Gasoline,26500
589,Mercedes-Benz,GLA 250 Base,2022,13777,Gasoline,39777
590,RAM,1500 Big Horn,2022,14920,Gasoline,41741
591,Jeep,Grand Cherokee L,2022,14627,Gasoline,56740
592,Volvo,S80 3.2,2010,90050,Gasoline,5800
593,Subaru,BRZ Premium,2014,45000,Gasoline,25000
594,Chevrolet,Corvette Base,1998,7666,Gasoline,39500
595,Hummer,H2 SUT,2006,89900,Gasoline,29994
597,Ford,Edge Sport,2011,132000,Gasoline,10999
598,GMC,Terrain SLT,2010,32652,Gasoline,6500
599,Land,Rover Range Rover,2018,36632,Gasoline,72567
600,Jeep,Grand Cherokee WK,2022,11164,Gasoline,37500
601,BMW,M4 Base,2020,22655,Gasoline,63999
602,Mercedes-Benz,AMG GT 63,2019,9500,Gasoline,135000
603,Chevrolet,Camaro 1LT,2021,10300,Gasoline,29900
604,BMW,X6 M Base,2018,48000,Gasoline,54000
605,Mercedes-Benz,CLK-Class 550,2007,138000,Gasoline,10000
606,RAM,1500 TRX,2022,24058,Gasoline,81900
607,Audi,RS 7 4.0T,2016,31500,Gasoline,67000
608,Porsche,Macan S,2020,19701,Gasoline,55998
609,Genesis,GV70 3.5T Sport,2022,10200,Gasoline,50500
610,Aston,Martin V8 Vantage,2008,62378,Gasoline,33995
611,Nissan,350Z Touring,2006,84200,Gasoline,10200
613,Chevrolet,Tahoe Premier,2021,41050,Gasoline,62900
614,Jeep,Compass Limited,2020,39192,Gasoline,24590
615,BMW,430 430i,2022,7758,Gasoline,47998
616,Ford,Bronco Sport Outer,2021,31654,Gasoline,33410
617,Mercedes-Benz,AMG C 63,2017,63000,Gasoline,42000
618,Volvo,S40 T5,2005,257700,Gasoline,3550
619,Mercedes-Benz,GLE 350 Base,2017,57000,Gasoline,29500
620,Chevrolet,Silverado 1500 1LT,2017,89000,Gasoline,29999
621,Chevrolet,Tahoe LTZ,2015,134500,Gasoline,28000
622,Acura,MDX Technology,2022,15895,Gasoline,47950
623,Bentley,Bentayga Speed,2020,15109,Gasoline,162950
624,Rolls-Royce,Cullinan,2022,398,Gasoline,695000
625,Genesis,GV70 2.5T,2022,20319,Gasoline,44249
626,Pontiac,Firebird Base,1999,158000,Gasoline,2500
627,Lexus,GX 460 Base,2021,40906,Gasoline,51998
628,BMW,ALPINA B7 ALPINA,2020,33749,Gasoline,85998
629,BMW,M4 Competition xDrive,2023,1120,Gasoline,92900
630,Jeep,Grand Cherokee L,2021,26088,Gasoline,38383
631,Kia,Forte GT-Line,2022,14950,Gasoline,24000
632,Kia,Forte LX,2018,47466,Gasoline,14699
633,BMW,X6 M Base,2022,10376,Gasoline,98900
634,RAM,ProMaster 3500 High,2021,18500,Gasoline,41950
635,Volkswagen,Atlas Cross Sport,2021,24596,Gasoline,38322
636,Hyundai,Santa Fe SEL,2021,2905,Gasoline,27599
637,Jaguar,XF 3.0 Portfolio,2015,71290,Gasoline,21000
639,INFINITI,QX30 Premium,2017,37900,Gasoline,22000
640,Mercedes-Benz,AMG G 63,2022,2000,Gasoline,244896
641,Mercedes-Benz,AMG C 43,2019,32500,Gasoline,43500
642,Mitsubishi,Lancer Evolution Base,2003,61491,Gasoline,28000
643,Jeep,Wrangler Unlimited Sport,2013,77634,Gasoline,24590
644,Audi,A3 2.0 TDI,2015,83000,Diesel,18999
645,Volkswagen,Jetta GLX VR6,2002,121800,Gasoline,4300
646,BMW,ALPINA B7 ALPINA,2020,65852,Gasoline,68998
647,Bentley,Bentayga Azure First,2023,1335,Gasoline,272950
648,Mercedes-Benz,CLA-Class CLA 250,2014,83315,Gasoline,15000
651,Toyota,Tundra SR5,2022,29322,Gasoline,44999
652,Mercedes-Benz,SLC 300 Base,2019,23900,Gasoline,35999
653,Mercedes-Benz,AMG C AMG,2016,40515,Gasoline,47999
654,Ford,F-150 XLT,2020,67516,Gasoline,36994
655,Mazda,CX-9 Grand Touring,2010,155000,Gasoline,8300
656,Honda,Ridgeline RTL-E,2019,26998,Gasoline,35557
657,Bentley,Bentayga Onyx Edition,2018,18500,Gasoline,115000
658,MINI,Cooper S Clubman,2009,137600,Gasoline,6880
659,Nissan,Murano SL,2005,125500,Gasoline,3950
660,Bentley,Bentayga V8,2019,22039,Gasoline,113990
661,Nissan,Juke SV,2011,137483,Gasoline,3200
662,Ford,Expedition Max Limited,2019,67500,Gasoline,40500
663,Ford,Expedition Max King,2020,52000,Gasoline,53722
664,Lamborghini,Murcielago Base,2006,10000,Gasoline,259000
665,Chevrolet,Suburban LT,2017,195361,Gasoline,26000
666,Bentley,Bentayga Onyx Edition,2018,32500,Gasoline,103000
667,BMW,M760 i xDrive,2019,14806,Gasoline,81330
668,Genesis,GV70 2.5T,2022,11000,Gasoline,48950
670,Dodge,Durango GT,2017,34845,Gasoline,30000
671,Porsche,718 Cayman GTS,2018,16280,Gasoline,85500
672,Porsche,Cayman Base,2011,77000,Gasoline,32000
673,Porsche,Panamera Turbo,2010,63000,Gasoline,38500
674,Lexus,ES 350 Base,2016,39700,Gasoline,25500
676,Land,Rover Range Rover,2019,75897,Gasoline,35998
677,Jaguar,XF S,2017,55000,Gasoline,34000
678,Lexus,GX 470 Base,2005,114000,Gasoline,13450
679,Mercedes-Benz,GL-Class GL 550,2011,80124,Gasoline,17500
680,BMW,X6 M Base,2023,7000,Gasoline,144900
681,RAM,1500 Longhorn,2023,4285,Gasoline,65688
682,Lamborghini,Huracan LP580-2S,2019,17175,Gasoline,234900
685,GMC,Suburban 2500,1996,95000,Gasoline,25000
686,Land,Rover Range Rover,2020,59355,Gasoline,72995
688,BMW,M240 i,2019,19300,Gasoline,36000
690,Scion,tC Release Series,2010,120010,Gasoline,6500
691,Kia,Optima EX,2012,152520,Gasoline,10900
693,Maserati,Quattroporte Base,2005,32000,Gasoline,2954083
694,Porsche,Panamera Turbo,2015,47000,Gasoline,50000
695,Genesis,G70 2.0T,2023,2046,Gasoline,43499
696,Chevrolet,Trailblazer LS,2021,24965,Gasoline,22995
697,Toyota,Camry LE,2005,108000,Gasoline,7850
698,Toyota,Sienna LE,2015,76000,Gasoline,18300
699,Porsche,911 Carrera S,2014,30000,Gasoline,78500
700,Volvo,V60 T6 R-Design,2015,59271,Gasoline,29900
701,Lexus,LX 600 Premium,2023,1500,Gasoline,119500
704,FIAT,124 Spider Abarth,2017,45000,Gasoline,22500
705,Dodge,Ram 1500 Quad,2002,179000,Gasoline,6500
706,Toyota,Supra A91-MT Edition,2023,1500,Gasoline,84900
708,Jeep,Wrangler Unlimited X,2007,135465,Gasoline,15750
709,MINI,Countryman Cooper S,2014,79000,Gasoline,17000
710,Nissan,Maxima SV,2012,42259,Gasoline,17000
711,Toyota,Camry Solara SLE,2006,159890,Gasoline,6500
714,BMW,328 i xDrive,2013,96000,Gasoline,13500
715,BMW,135 i,2009,72900,Gasoline,15500
716,BMW,X7 M50i,2021,7121,Gasoline,94998
718,Volvo,C30 T5 Premier,2013,73000,Gasoline,13900
722,BMW,740 i,2016,73000,Gasoline,23999
723,Ford,Edge SEL,2019,26465,Gasoline,24998
724,Volkswagen,Arteon 2.0T SEL,2020,26870,Gasoline,34645
725,Honda,Pilot EX,2004,184000,Gasoline,10500
726,BMW,X7 ALPINA XB7,2022,4514,Gasoline,132998
727,RAM,2500 Tradesman,2022,1300,Gasoline,48000
728,Jeep,Grand Cherokee Limited,2018,49924,Gasoline,26500
729,GMC,Yukon Denali,2019,36526,Gasoline,57850
730,BMW,M6 Base,2015,37000,Gasoline,45950
731,Acura,MDX 3.5L w/Advance,2017,79884,Gasoline,24840
732,Volkswagen,Beetle 1.8T,2016,30000,Gasoline,19000
733,BMW,X6 M Base,2021,11102,Gasoline,101000
734,Ford,Mustang GT Premium,2012,105500,Gasoline,19000
735,BMW,X7 xDrive50i,2019,31157,Gasoline,65998
736,Kia,Sorento LX V6,2019,86204,Gasoline,20708
737,BMW,435 i,2014,80211,Gasoline,17995
738,Aston,Martin V8 Vantage,2010,25991,Gasoline,69995
739,Mercedes-Benz,CLK-Class CLK 350,2008,73000,Gasoline,8400
740,BMW,740 i,2018,40989,Gasoline,35000
741,Dodge,Caliber Express,2010,102681,Gasoline,6000
742,Acura,ZDX Base,2010,123000,Gasoline,13888
743,Jeep,Wrangler X,2005,160900,Gasoline,7200
744,BMW,M3 Base,2011,105000,Gasoline,21900
747,BMW,M3 Base,2011,72277,Gasoline,34950
749,Porsche,Panamera 4 Platinum,2022,10627,Gasoline,99000
750,Ford,Explorer XLT,2020,67015,Gasoline,28590
751,BMW,M4 Base,2018,19600,Gasoline,62000
754,Cadillac,Escalade Luxury,2015,99897,Gasoline,26950
755,Mercedes-Benz,SL-Class SL 550,2014,127500,Gasoline,29000
756,Ford,Expedition Limited,2021,23842,Gasoline,59203
758,BMW,M6 Base,2014,65550,Gasoline,39985
759,Lamborghini,Huracan LP580-2,2017,22000,Gasoline,210000
760,Ford,Bronco Wildtrak Advanced,2022,15600,Gasoline,68995
761,Lexus,LC 500 Base,2021,22400,Gasoline,81900
762,Lexus,LS 460 Crafted,2015,89150,Gasoline,31900
763,BMW,M4 Base,2023,15000,Gasoline,81000
764,Audi,A3 2.0T Tech,2018,49500,Gasoline,25000
765,Audi,S8 4.2 quattro,2003,126000,Gasoline,13850
766,Volkswagen,Golf GTI 2.0T,2015,85385,Gasoline,15550
767,Cadillac,Escalade Sport,2023,3000,Diesel,123999
768,Hyundai,Tucson SE,2018,66126,Gasoline,19190
769,Toyota,GR86 Premium,2023,1075,Gasoline,35000
770,Ford,Bronco Raptor,2023,2489,Gasoline,98900
771,Hyundai,Santa Fe SEL,2021,25000,Gasoline,28500
772,Nissan,Armada Platinum,2017,92000,Gasoline,20900
773,Lexus,GX 470 Base,2008,123500,Gasoline,14500
774,Cadillac,CTS Premium,2013,105000,Gasoline,12000
775,Audi,R8 Base,2008,49000,Gasoline,63000
776,Jaguar,F-PACE S,2020,28357,Gasoline,47598
778,Ford,Expedition Limited,2021,45000,Gasoline,52000
782,Toyota,Avalon XLE,2015,90000,Gasoline,18200
783,Porsche,Macan Base,2017,40600,Gasoline,32000
784,Lexus,IS 350 F,2023,20121,Gasoline,47124
785,Mercedes-Benz,Metris Base,2020,3921,Gasoline,175000
786,Lexus,RX 350 Base,2011,187450,Gasoline,10400
787,Toyota,Supra A91 Edition,2021,6400,Gasoline,68000
788,Mercedes-Benz,AMG C 43,2017,54500,Gasoline,37995
789,BMW,X6 xDrive50i,2017,78500,Gasoline,42000
790,Chevrolet,Tahoe LT,2018,75000,Gasoline,36000
791,Ford,F-150 SVT Raptor,2014,89988,Gasoline,42500
792,Subaru,Outback 3.0 R,2005,107000,Gasoline,7100
793,Alfa,Romeo Giulia Ti,2019,21400,Gasoline,28500
794,Mazda,CX-7 Grand Touring,2007,83150,Gasoline,6950
795,Ford,F-150 Platinum,2018,92000,Diesel,36500
796,Mercedes-Benz,GLE 350 Base,2021,15042,Gasoline,54599
797,Audi,A7 3.0T Premium,2017,39000,Gasoline,35000
798,RAM,2500 Laramie,2017,67483,Gasoline,46500
800,Audi,S8 4.0T Plus,2017,54300,Gasoline,53500
802,Audi,A8 L 4.0T,2016,142666,Gasoline,22000
803,Ford,Ranger Sport SuperCab,2009,166200,Gasoline,6999
805,BMW,M3 Base,2011,114890,Gasoline,20990
806,Mercedes-Benz,E-Class E 350,2009,171000,Gasoline,4750
807,Ford,Explorer sport,2019,90067,Gasoline,28590
808,Chevrolet,Camaro 1LT,2014,97579,Gasoline,15000
809,Mazda,MX-5 Miata RF,2017,52000,Gasoline,20500
810,Jeep,Grand Cherokee L,2021,25968,Gasoline,38405
811,MINI,Hardtop Cooper S,2016,41680,Gasoline,17495
812,Saab,9-3 SE,2002,77200,Gasoline,7500
813,BMW,X5 xDrive40i,2019,50000,Gasoline,43000
814,Porsche,Macan,2021,21613,Gasoline,58998
815,Audi,Q3 S line,2022,17377,Gasoline,39998
816,GMC,Acadia SLE,2020,30426,Gasoline,29645
817,Audi,allroad 2.7T,2005,153000,Gasoline,6500
818,Mercury,Marauder Base,2004,56600,Gasoline,23000
819,Hyundai,Genesis 3.8,2015,116612,Gasoline,12700
820,Audi,SQ5 3.0T Premium,2018,72000,Gasoline,30000
822,Lincoln,Navigator Base,2008,149000,Gasoline,10099
823,BMW,M4 Base,2018,19300,Gasoline,64000
824,Mazda,CX-9 Carbon Edition,2021,27836,Gasoline,36969
825,Chevrolet,Corvette Stingray w/1LT,2023,3273,Gasoline,78999
826,Ford,F-150 Lariat,2017,74349,Gasoline,36000
827,Ford,F-250 Lariat,2019,85000,Diesel,55000
828,Ferrari,Roma Base,2022,2250,Gasoline,259500
829,Mercedes-Benz,GLS 450 Base,2017,46100,Gasoline,33000
830,Hyundai,Santa Fe SEL,2019,49500,Gasoline,28000
831,Mercedes-Benz,E-Class E 350,2012,31130,Gasoline,23500
832,Ford,F-250 XLT SuperCab,2008,149460,Diesel,12240
833,Mercury,Marauder Base,2003,90000,Gasoline,15500
835,Mercedes-Benz,C-Class C 300,2013,98000,Gasoline,15500
836,Volkswagen,Arteon SEL R-Line,2022,18655,Gasoline,38698
837,Chevrolet,Suburban 2500 LS,2006,60000,Gasoline,24950
839,Mitsubishi,Eclipse GS,2008,189500,Gasoline,6000
840,Toyota,Land Cruiser Base,2016,91000,Gasoline,68500
841,Genesis,G80 2.5T,2022,7396,Gasoline,41299
842,Toyota,Tundra SR5 Access,2004,229450,Gasoline,8250
843,Maserati,Quattroporte Modena Q4,2023,8603,Gasoline,125900
844,Audi,RS 5 4.2,2014,49098,Gasoline,44900
845,Nissan,Rogue S,2022,21212,Gasoline,28906
846,Porsche,Panamera 4S,2010,62743,Gasoline,28600
849,Volvo,S60 T6 Momentum,2020,46250,Gasoline,27800
850,Mazda,CX-9 Touring Plus,2023,1930,Gasoline,40655
852,Jeep,Wrangler Unlimited Sport,2020,24040,Gasoline,35273
853,Toyota,Highlander Base,2001,231581,Gasoline,4300
854,Ford,F-150 Lariat,2019,81000,Gasoline,38500
856,Land,Rover Discovery Sport,2022,23568,Gasoline,44998
857,Mazda,Mazda6 Touring,2020,78700,Gasoline,18000
858,Kia,Optima EX,2015,109580,Gasoline,11900
859,Lexus,RX 350 Base,2009,178000,Gasoline,4500
860,Mitsubishi,Outlander Sport 2.4,2016,131193,Gasoline,11970
861,Mercedes-Benz,GLS 450 Base,2017,106000,Gasoline,25900
862,Audi,A3 2.0T Premium,2019,28211,Gasoline,27500
864,Mercedes-Benz,CLA-Class CLA 250,2016,88600,Gasoline,16800
865,INFINITI,FX50 Base,2011,84900,Gasoline,22450
866,Kia,K5 EX,2021,11154,Gasoline,28998
868,Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,33272,Gasoline,11900
869,Jeep,Wrangler SE,2003,71000,Gasoline,12499
870,Kia,Telluride SX,2020,55400,Gasoline,36500
871,Land,Rover LR4 Lux,2012,141525,Gasoline,14490
872,Jaguar,XKR Base,2007,50000,Gasoline,21900
873,BMW,M4 Base,2020,29140,Gasoline,71995
876,RAM,1500 Laramie,2022,34121,Gasoline,48190
877,BMW,ALPINA B7 Base,2013,36750,Gasoline,35999
878,Mercedes-Benz,C-Class C280 4MATIC,2007,49626,Gasoline,12000
879,Jeep,Compass High Altitude,2017,45000,Gasoline,16500
881,BMW,X5 M Base,2022,8307,Gasoline,98900
882,BMW,M3 Base,2023,4106,Gasoline,84645
883,BMW,M3 Base,1999,184700,Gasoline,36950
884,Maserati,Quattroporte S Q4,2018,57500,Gasoline,41900
885,Acura,RDX Advance Package,2021,29000,Gasoline,39650
886,Mercedes-Benz,GLA-Class GLA 250,2015,61675,Gasoline,19000
887,Mercedes-Benz,Sprinter 3500XD High,2021,33300,Diesel,45000
888,Cadillac,XTS Luxury,2014,62950,Gasoline,17498
889,Chevrolet,Camaro 2LT,2015,56675,Gasoline,19750
890,Porsche,Cayenne S,2013,92000,Gasoline,23000
891,Dodge,Magnum R/T,2005,96000,Gasoline,12000
892,INFINITI,Q70 3.7X,2014,33500,Gasoline,23000
893,Land,Rover Range Rover,2020,16754,Gasoline,112000
895,GMC,Acadia SLT-1,2016,119000,Gasoline,12500
896,Lincoln,Corsair Reserve,2021,29336,Gasoline,36999
897,RAM,2500 SLT,2017,86000,Diesel,41000
898,RAM,3500 Laramie,2014,177000,Diesel,40500
899,Mercedes-Benz,GL-Class GL 450,2013,93500,Gasoline,15900
900,BMW,M5 Base,2018,47700,Gasoline,54999
901,Ford,Mustang SVT Cobra,2003,97496,Gasoline,24500
902,Acura,ILX Premium Package,2022,16120,Gasoline,26599
903,Buick,Rainier CXL,2005,147589,Gasoline,2800
905,Mercedes-Benz,S-Class S 560,2018,45791,Gasoline,52000
906,INFINITI,QX80 Base,2016,60000,Gasoline,25950
907,Buick,Encore Preferred,2019,50000,Gasoline,18795
908,Mercedes-Benz,GLS 450 Base,2019,33481,Gasoline,43999
909,Jeep,Liberty Limited,2010,107000,Gasoline,5900
910,Mercedes-Benz,S-Class S 63,2011,60000,Gasoline,37000
911,Audi,A8 L 3.0T,2016,55000,Gasoline,28000
912,Mazda,CX-30 2.5 S,2022,4004,Gasoline,25500
913,Bentley,Continental GT Speed,2009,57800,Gasoline,59400
914,Bentley,Continental GT V8,2022,10972,Gasoline,217950
915,Bentley,Flying Spur V8,2022,27858,Gasoline,197750
916,Porsche,911 Carrera 4S,2018,31678,Gasoline,106798
917,Volkswagen,Golf R 4-Door,2016,47144,Gasoline,29950
918,Hyundai,Genesis Coupe 3.8,2011,165454,Gasoline,4000
919,Ford,F-150 XLT,2018,98000,Gasoline,25500
920,Hyundai,Tucson Limited,2020,39913,Gasoline,22749
921,Ford,Mustang V6,2013,147191,Gasoline,12990
922,BMW,435 i,2014,53600,Gasoline,25980
924,Mercedes-Benz,AMG G 63,2020,1750,Gasoline,199995
925,Dodge,Challenger SRT Hellcat,2020,2750,Gasoline,104500
926,Porsche,Boxster Base,2013,40800,Gasoline,35500
927,Porsche,Macan Base,2018,36798,Gasoline,49500
928,Ford,F-250 XL,2021,77699,Diesel,49883
929,Ford,Mustang GT,2010,87500,Gasoline,14900
930,Chevrolet,Suburban LT,2020,93000,Gasoline,38500
931,Mercedes-Benz,C-Class C 300,2018,41515,Gasoline,28251
934,BMW,M5 Base,2018,31090,Gasoline,68000
935,Mazda,Mazda3 FWD w/Premium,2022,21701,Gasoline,25099
936,Nissan,Rogue SL,2016,97726,Gasoline,15998
937,Audi,A7 3.0T Prestige,2015,73000,Diesel,34000
938,Genesis,G80 3.8,2020,23600,Gasoline,31900
939,Rolls-Royce,Ghost Base,2016,8755,Gasoline,166900
940,BMW,M6 Gran Coupe,2019,20500,Gasoline,67900
941,Ford,Mustang V6,2013,57912,Gasoline,18750
942,BMW,650 i,2009,35000,Gasoline,18500
944,Lincoln,MKC Reserve,2019,35469,Gasoline,30890
945,Kia,Telluride EX,2022,14676,Gasoline,46787
946,Lincoln,Navigator Reserve,2022,13750,Gasoline,79999
947,Mercedes-Benz,S-Class S 550,2015,13300,Gasoline,62500
948,Chevrolet,Suburban LT,2017,117000,Gasoline,27000
950,Ford,Mustang EcoBoost Premium,2017,89352,Gasoline,20989
951,Chevrolet,Cruze LS,2018,100000,Gasoline,8500
953,Land,Rover Defender S,2023,15200,Gasoline,62999
954,BMW,650 i,2012,39960,Gasoline,38995
955,Ford,Mustang Base,2008,119000,Gasoline,13500
956,Kia,K5 GT-Line,2022,10971,Gasoline,29998
957,Mazda,Mazda3 i Touring,2014,118500,Gasoline,11500
958,Kia,Stinger GT1,2021,8288,Gasoline,45899
959,Chevrolet,Camaro ZL1,2023,2950,Gasoline,74500
960,Mercedes-Benz,AMG G 63,2017,73000,Gasoline,78000
961,Ford,Thunderbird Premium,2005,82000,Gasoline,14900
963,GMC,Sierra 1500 SLT,2017,49105,Gasoline,39750
964,Kia,Telluride LX,2023,5500,Gasoline,40000
965,Chevrolet,Corvette Base,2005,36700,Gasoline,26000
966,BMW,650 i,2014,40000,Gasoline,34000
967,Nissan,Rogue SL,2017,78110,Gasoline,17500
968,GMC,Acadia Denali,2015,74864,Gasoline,19780
969,Cadillac,Escalade Premium Luxury,2021,15350,Gasoline,93500
970,Nissan,GT-R Premium,2010,46100,Gasoline,72999
971,Toyota,Highlander XLE,2018,61454,Gasoline,31000
972,BMW,X7 xDrive40i,2020,45241,Gasoline,54500
973,INFINITI,QX60 Base,2018,48000,Gasoline,27000
974,Lexus,IS 250C Base,2010,68500,Gasoline,18500
975,GMC,Sierra 1500 Denali,2019,43433,Gasoline,51899
976,Chevrolet,SSR Base,2005,122961,Gasoline,20995
977,Dodge,Challenger R/T,2014,92861,Gasoline,19750
978,Hyundai,Equus Signature,2016,72000,Gasoline,21400
979,Lamborghini,Aventador SVJ Base,2019,6929,Gasoline,649999
980,Ford,Mustang GT,2003,83000,Gasoline,10500
984,Jeep,Grand Cherokee L,2022,12875,Gasoline,42599
985,Maserati,GranTurismo Sport,2015,32000,Gasoline,36000
986,BMW,M5 Base,2013,61145,Gasoline,37500
987,Mercedes-Benz,C-Class 4MATIC Sedan,2022,9612,Gasoline,43900
989,Ford,F-150 Lariat,2011,152000,Gasoline,14000
990,Audi,A4 2.0T Premium,2012,129567,Gasoline,7000
991,BMW,540 i xDrive,2019,36000,Gasoline,41995
992,BMW,X6 xDrive35i,2009,92008,Gasoline,12500
993,Ford,Mustang Base,1998,63900,Gasoline,10300
994,Toyota,Sequoia Limited,2012,150900,Gasoline,17500
996,Land,Rover Range Rover,2018,38020,Gasoline,63998
998,Subaru,WRX Base,2015,52500,Gasoline,23000
999,Chevrolet,Suburban LT,2017,207571,Gasoline,21000
1000,INFINITI,QX60 Pure,2020,39000,Gasoline,29900
1001,Porsche,Cayman Base,2011,66000,Gasoline,28000
1002,INFINITI,QX60 Base,2017,93500,Gasoline,16000
1003,BMW,M4 Base,2018,7200,Gasoline,64000
1004,Maserati,MC20 MC20,2022,1220,Gasoline,238900
1006,BMW,M8 Base,2020,25520,Gasoline,84900
1009,Mercedes-Benz,SL-Class SL 550,2011,41314,Gasoline,30999
1010,Land,Rover Range Rover,2020,49899,Gasoline,64500
1012,Lexus,ES 350 Base,2016,51335,Gasoline,25995
1013,Porsche,718 Boxster GTS,2019,10400,Gasoline,99750
1014,Mercedes-Benz,G-Class G 550,2020,20622,Gasoline,142998
1015,RAM,1500 Big Horn,2022,19376,Gasoline,45861
1016,Audi,R8 5.2 V10,2020,12245,Gasoline,187900
1017,Mitsubishi,Lancer Evolution IX,2006,77000,Gasoline,57000
1018,Acura,TL Technology,2013,40000,Gasoline,24000
1019,Cadillac,CTS Luxury,2012,113000,Gasoline,10000
1020,Chevrolet,Camaro 1SS,2022,7600,Gasoline,46000
1022,Ford,Transit-350 XLT,2019,115000,Gasoline,39000
1024,Jaguar,F-TYPE V6 S,2014,62194,Gasoline,32998
1025,Jeep,Wrangler Sahara,2020,22138,Gasoline,38598
1026,Porsche,718 Boxster S,2017,48900,Gasoline,62500
1027,Audi,R8 5.2,2014,21800,Gasoline,117000
1028,Lincoln,MKZ Base,2016,68200,Gasoline,16750
1029,Chevrolet,S-10 LS Crew,2001,139000,Gasoline,7000
1030,Mercedes-Benz,G-Class G 550,2021,76100,Gasoline,130000
1031,Lexus,RX 350 RX,2022,14330,Gasoline,54998
1032,BMW,750 i xDrive,2019,41906,Gasoline,45999
1033,Chevrolet,Camaro 2SS,2016,164000,Gasoline,21500
1035,Hyundai,Santa Cruz 2.5T,2022,22829,Gasoline,34580
1036,Lexus,RX 350 F,2023,5483,Gasoline,59950
1037,Land,Rover Range Rover,2020,46891,Gasoline,31000
1038,Chevrolet,Suburban LT,2019,72000,Gasoline,39000
1039,Porsche,718 Spyder Base,2020,3400,Gasoline,129900
1040,Chevrolet,Camaro 1LT,2021,18000,Gasoline,30000
1041,Jeep,Gladiator Freedom,2021,30630,Gasoline,39998
1042,Toyota,Tacoma Double Cab,2007,24985,Gasoline,33580
1043,GMC,Yukon Denali Ultimate,2023,9978,Gasoline,93999
1044,Ford,Shelby GT350R Base,2018,18500,Gasoline,77999
1045,Cadillac,Escalade Premium Luxury,2021,72843,Gasoline,79990
